title,view,tags
چهره دلخراش دانیال بعد از نبرد در انزلی (عکس),59700,"پرسپولیس, دانیال اسماعیلی فر, لیگ برتر ایران, فوتبال"
نیمه‌شب: بیانیه مستقیم و تند استقلال علیه پرسپولیس!,142500,"پرسپولیس, استقلال, لیگ برتر ایران, فوتبال"
اقدام سریع استقلال برای لغو محرومیت نکونام,32299,"استقلال, کمیته انضباطی, جواد نکونام, لیگ برتر ایران, فوتبال"
نظر عجیب گواردیولا: امسال باید دو توپ طلا بدهند,32700,"منچستریونایتد, منچسترسیتی, لیونل مسی, ارلینگ هالند, پپ گواردیولا, لیگ برتر انگلیس, فوتبال"
داریوش شجاعیان با چهره روزهای آماده در استقلال,32100,"داریوش شجاعیان, هوادار, لیگ برتر ایران, فوتبال"
خون و زخم کاری در فرانسه: بس کنید!,13200,"مارسی, لیون, لیگ یک فرانسه, فوتبال"
حمله مورینیو به داور: به بازیکنانم بی‌احترامی کردی!,12600,"اینتر, آاس رم, روملو لوکاکو, خوزه مورینیو, سری آ ایتالیا, فوتبال"
"یک سوپرگل هیجان‌انگیز، عامل صدرنشینی لورکوزن",15500,"ژابی آلونسو, بایرلورکوزن, فلورین ویرتز, بوندسلیگا آلمان, فوتبال"
آرزوهای تمام نشدنی گلرهای معروف فوتبال ایران,9600,"علیرضا حقیقی, گل گهرسیرجان, محسن فروزان, هوادار, لیگ برتر ایران, فوتبال"
مصدومیت کمال کامیابی این بار در بوندسلیگا,28300,"لایپزیش, بوندسلیگا آلمان, دنی اولمو, فوتبال"
حمایت از نساجی به کوچه پشتی ورزشگاه کشید!,7100,"سپاهان, نساجی مازندران, لیگ برتر ایران, فوتبال"
صدرنشینی ستاره‌های ایران در لیگ قهرمانان اروپا,17100,"حسین طیبی, مسلم اولادقباد, سالار آقاپور, فوتسال"
تیم ملی فوتبال هفت نفره راهی ملبورن شد,2200,"جانبازان و معلولین, فوتبال"
خطر رفع شد: حال ستاره هلندی خوب است,22600,"آلکمار, نایمخن, باس دوست, فوتبال"
سرمربی شجاع و کنعانی در بندر اصلی شارجه,8700,"لیگ برتر امارات, فوتبال"
"اعتراف بزرگ ستاره، در چلسی شکست خوردم",28400,"آث میلان, چلسی, آندری شوچنکو, فوتبال"
